SEXO,IDADE,FX_ID,ESCOLARIDADE,P1A,P1B,P1C,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P4,RACA,RELIGIAO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA
FEM,19.0,18 A 24,Superior incompleto,Não,Não,Não,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Não respondeu,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,189505297.0,2023-09-01,Face a face
FEM,42.0,35 A 44,3ª série,Não,Não,Não,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Ampliar o uso de energias renováveis,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,189608690.0,2023-09-03,Face a face
MAS,45.0,45 A 54,Superior incompleto,Sim,Sim,Sim,Reduzir a violência,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Alguma vontade,Branca,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,CAPITAL,MAIS DE 500.000,189594357.0,2023-09-03,Face a face
FEM,22.0,18 A 24,1ª série,Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Preta,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189555773.0,2023-09-02,Face a face
MAS,33.0,25 A 34,Superior incompleto,Sim,Sim,Sim,Reduzir as desigualdades sociais,Reduzir a violência,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,PERIFERIA,MAIS DE 500.000,189572015.0,2023-09-02,Face a face
MAS,38.0,35 A 44,Superior incompleto,Sim,Sim,Sim,Reduzir as desigualdades sociais,Preservar os valores ligados à família,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Alguma vontade,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 1 A 2,NORTE,CAPITAL,MAIS DE 500.000,189633413.0,2023-09-04,Face a face
MAS,53.0,45 A 54,5ª série (ou 6º ano),Não,Não,Não,Reduzir a violência,Incentivar a geração de empregos,Combater as mudanças climáticas/desmatamento,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Branca,Outras Evangélicas específicas,ATÉ 1,ATÉ 1,SUL,INTERIOR,DE 10.001 A 20.000,189645231.0,2023-09-04,Face a face
FEM,45.0,45 A 54,4ª série (ou 5º ano),Não,Não,Não,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Branca,Evangélica - Não sabe especificar,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189580030.0,2023-09-02,Face a face
MAS,45.0,45 A 54,3ª série,Não,Não,Sim,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Melhorar a qualidade da educação,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,189528649.0,2023-09-01,Face a face
FEM,27.0,25 A 34,2ª série,Não,Não,Não,Incentivar a geração de empregos,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Aumentar os impostos de grandes fortunas (ou dos mais ricos),Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,ATÉ 1,NORDESTE,PERIFERIA,DE 100.001 A 500.000,189519351.0,2023-09-01,Face a face
FEM,30.0,25 A 34,Superior incompleto,Não,Não,Não,Reduzir as desigualdades sociais,Reduzir a violência,Melhorar a qualidade da educação,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Evangélica - Não sabe especificar,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,PERIFERIA,MAIS DE 500.000,189527404.0,2023-09-01,Face a face
MAS,33.0,25 A 34,2ª série,Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Preservar os valores ligados à família,Defender a igualdade entre homens e mulheres,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Parda,"Ateu, não tem religião",ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,MAIS DE 500.000,189595110.0,2023-09-03,Face a face
FEM,56.0,55 A 64,1ª série (ou 2º ano),Sim,Não,Não,Preservar os valores ligados à família,Ampliar o uso de energias renováveis,Reduzir as desigualdades sociais,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,"Ateu, não tem religião",ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 100.001 A 500.000,189523958.0,2023-09-01,Face a face
FEM,60.0,55 A 64,5ª série (ou 6º ano),Não,Não,Não,Incentivar a geração de empregos,Preservar os valores ligados à família,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,CAPITAL,MAIS DE 500.000,189624812.0,2023-09-02,Face a face
MAS,27.0,25 A 34,3ª série,Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Preservar os valores ligados à família,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 50.001 A 100.000,189533393.0,2023-09-01,Face a face
FEM,37.0,35 A 44,2ª série,Sim,Sim,Sim,Reduzir as desigualdades sociais,Melhorar a qualidade da saúde,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)","Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189529028.0,2023-09-01,Face a face
FEM,63.0,55 A 64,Superior completo,Sim,Sim,Não,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Incentivar a geração de empregos,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,ATÉ 5.000,189613130.0,2023-09-03,Face a face
FEM,36.0,35 A 44,8ª série (ou 9º ano),Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Preservar os valores ligados à família,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Assembléia de Deus,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,189595179.0,2023-09-03,Face a face
MAS,26.0,25 A 34,1ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Reduzir as desigualdades sociais,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,Nenhuma vontade,Parda,Deus é Amor,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,INTERIOR,DE 20.001 A 50.000,189707997.0,2023-09-05,Face a face
FEM,38.0,35 A 44,4ª série (ou 5º ano),Não,Não,Não,Melhorar a qualidade da saúde,Reduzir a violência,Reduzir as desigualdades sociais,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,"Ateu, não tem religião",ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,189519190.0,2023-09-01,Face a face
FEM,51.0,45 A 54,3ª série,Sim,Sim,Sim,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Preservar os valores ligados à família,Defender a igualdade entre homens e mulheres,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,Muita vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189554609.0,2023-09-02,Face a face
MAS,65.0,65 E MAIS,2ª série,Não,Não,Não,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Combater as mudanças climáticas/desmatamento,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,189523369.0,2023-09-01,Face a face
FEM,32.0,25 A 34,Superior completo,Não,Não,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 20.001 A 50.000,189565297.0,2023-09-02,Face a face
FEM,34.0,25 A 34,Superior completo,Não,Não,Não,Melhorar a qualidade da saúde,Reduzir as desigualdades sociais,Combater as mudanças climáticas/desmatamento,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189704571.0,2023-09-05,Face a face
MAS,53.0,45 A 54,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,Nenhuma vontade,Parda,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,189604248.0,2023-09-03,Face a face
MAS,42.0,35 A 44,Superior incompleto,Não,Não,Não,Melhorar a qualidade da saúde,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,INTERIOR,DE 20.001 A 50.000,189510806.0,2023-09-01,Face a face
FEM,40.0,35 A 44,8ª série (ou 9º ano),Não,Não,Não,Preservar os valores ligados à família,Melhorar a qualidade da saúde,Reduzir a violência,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUL,INTERIOR,DE 10.001 A 20.000,189656927.0,2023-09-04,Face a face
MAS,67.0,65 E MAIS,1ª série,Sim,Sim,Sim,Reduzir as desigualdades sociais,Incentivar a geração de empregos,Defender a igualdade entre homens e mulheres,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,189687865.0,2023-09-05,Face a face
MAS,17.0,16 E 17,3ª série,Não,Não,Não,Melhorar a qualidade da educação,Reduzir a violência,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,NÃO RESPONDEU,NORTE,INTERIOR,DE 50.001 A 100.000,189590107.0,2023-09-02,Face a face
FEM,25.0,25 A 34,2ª série,Não,Não,Não,Reduzir as desigualdades sociais,Defender a igualdade entre homens e mulheres,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,NÃO RESPONDEU,NÃO RESPONDEU,SUDESTE,PERIFERIA,DE 100.001 A 500.000,189700838.0,2023-09-05,Face a face
FEM,65.0,65 E MAIS,4ª série (ou 5º ano),Não,Não,Não,Reduzir as desigualdades sociais,Melhorar a qualidade da saúde,Reduzir a violência,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Outras Evangélicas específicas,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,MAIS DE 500.000,189700626.0,2023-09-04,Face a face
MAS,66.0,65 E MAIS,4ª série (ou 5º ano),Não,Não,Sim,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Combater as mudanças climáticas/desmatamento,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,189528653.0,2023-09-01,Face a face
FEM,61.0,55 A 64,3ª série,Não,Não,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Incentivar a geração de empregos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,"Afro-Brasileiras (Umbanda, Candomblé, etc)",MAIS DE 1 A 2,MAIS DE 1 A 2,SUL,CAPITAL,MAIS DE 500.000,189567394.0,2023-09-02,Face a face
MAS,65.0,65 E MAIS,4ª série (ou 5º ano),Não,Não,Não,Reduzir a violência,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,Universal do Reino de Deus,ATÉ 1,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,189691779.0,2023-09-05,Face a face
MAS,57.0,55 A 64,1ª série,Sim,Sim,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Muita vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 10.001 A 20.000,189603209.0,2023-09-03,Face a face
FEM,54.0,45 A 54,3ª série,Não,Não,Não,Reduzir as desigualdades sociais,Melhorar a qualidade da saúde,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Amarela,Batista/ Metodista/ Presbiteriana,MAIS DE 2 A 5,MAIS DE 5 A 10,NORDESTE,INTERIOR,DE 20.001 A 50.000,189594448.0,2023-09-03,Face a face
MAS,30.0,25 A 34,Superior incompleto,Não,Não,Sim,Incentivar a geração de empregos,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,Espírita/ Kardecista,MAIS DE 1 A 2,MAIS DE 1 A 2,SUL,CAPITAL,MAIS DE 500.000,189624810.0,2023-09-02,Face a face
FEM,50.0,45 A 54,5ª série (ou 6º ano),Não,Não,Não,Reduzir a violência,Melhorar a qualidade da saúde,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 50.001 A 100.000,189558214.0,2023-09-02,Face a face
FEM,26.0,25 A 34,3ª série,Sim,Sim,Não,Incentivar a geração de empregos,Reduzir a violência,Combater as mudanças climáticas/desmatamento,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORTE,INTERIOR,DE 100.001 A 500.000,189509177.0,2023-09-01,Face a face
MAS,77.0,65 E MAIS,"Sabe ler/ escrever, mas não cursou escola",Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Combater as mudanças climáticas/desmatamento,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORTE,INTERIOR,DE 5.001 A 10.000,189560014.0,2023-09-02,Face a face
FEM,38.0,35 A 44,Superior completo,Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Branca,É religioso mas não segue nenhuma/ Agnóstico,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,SUDESTE,INTERIOR,MAIS DE 500.000,189604477.0,2023-09-03,Face a face
FEM,72.0,65 E MAIS,3ª série (ou 4º ano),Não,Não,Não,Melhorar a qualidade da saúde,,,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUL,PERIFERIA,DE 100.001 A 500.000,189563664.0,2023-09-02,Face a face
FEM,48.0,45 A 54,3ª série,Não,Não,Não,Reduzir as desigualdades sociais,Combater as mudanças climáticas/desmatamento,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,Muita vontade,Branca,"Ateu, não tem religião",MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 20.001 A 50.000,189519971.0,2023-09-01,Face a face
FEM,43.0,35 A 44,6ª série (ou 7º ano),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Reduzir a violência,Melhorar a qualidade da saúde,Incentivar a geração de empregos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Deus é Amor,ATÉ 1,ATÉ 1,SUL,PERIFERIA,DE 100.001 A 500.000,189512958.0,2023-09-01,Face a face
MAS,23.0,18 A 24,3ª série,Sim,Sim,Sim,Reduzir as desigualdades sociais,Melhorar a qualidade da saúde,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,"Afro-Brasileiras (Umbanda, Candomblé, etc)",MAIS DE 2 A 5,MAIS DE 10 A 20,SUDESTE,PERIFERIA,DE 100.001 A 500.000,189514090.0,2023-09-01,Face a face
FEM,24.0,18 A 24,3ª série,Não,Não,Não,Incentivar a geração de empregos,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Branca,Não respondeu,ATÉ 1,NÃO RESPONDEU,NORTE,INTERIOR,DE 20.001 A 50.000,189527655.0,2023-09-01,Face a face
MAS,32.0,25 A 34,Superior completo,Sim,Sim,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Indígena,Batista/ Metodista/ Presbiteriana,MAIS DE 1 A 2,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,189604483.0,2023-09-03,Face a face
FEM,38.0,35 A 44,Superior completo,Não,Não,Não,Reduzir as desigualdades sociais,Melhorar a qualidade da saúde,Reduzir a violência,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Branca,"Ateu, não tem religião",NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,SUDESTE,INTERIOR,MAIS DE 500.000,189603556.0,2023-09-03,Face a face
FEM,37.0,35 A 44,3ª série,Sim,Sim,Sim,Reduzir a violência,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189569094.0,2023-09-02,Face a face
FEM,49.0,45 A 54,8ª série (ou 9º ano),Não,Não,Não,Defender a igualdade entre homens e mulheres,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 1 A 2,NORTE,INTERIOR,DE 20.001 A 50.000,189576526.0,2023-09-02,Face a face
MAS,28.0,25 A 34,Superior completo,Sim,Sim,Sim,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 5.001 A 10.000,189690443.0,2023-09-05,Face a face
MAS,48.0,45 A 54,3ª série,Não,Não,Não,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Reduzir a violência,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Alguma vontade,Branca,Evangélica - Não sabe especificar,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,189641940.0,2023-09-04,Face a face
FEM,53.0,45 A 54,3ª série,Sim,Sim,Sim,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros","Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,Alguma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,189567544.0,2023-09-02,Face a face
MAS,54.0,45 A 54,3ª série,Sim,Sim,Sim,Reduzir a violência,Ampliar o uso de energias renováveis,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,Alguma vontade,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 5 A 10,SUDESTE,CAPITAL,MAIS DE 500.000,189686053.0,2023-09-05,Face a face
