SEXO,IDADE,FX_ID,ESCOLARIDADE,P1A,P1B,P1C,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P4,RACA,RELIGIAO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA
FEM,44.0,35 A 44,Superior completo,Sim,Sim,Sim,Ampliar o uso de energias renováveis,Defender a igualdade entre homens e mulheres,Melhorar a qualidade da educação,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Muita vontade,Preta,Universal do Reino de Deus,MAIS DE 2 A 5,MAIS DE 5 A 10,NORDESTE,CAPITAL,MAIS DE 500.000,189579255.0,2023-09-02,Face a face
FEM,39.0,35 A 44,1ª série,Não,Não,Não,Preservar os valores ligados à família,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,Universal do Reino de Deus,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,DE 100.001 A 500.000,189560797.0,2023-09-02,Face a face
FEM,44.0,35 A 44,Superior incompleto,Não,Não,Sim,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,Nenhuma vontade,Parda,Adventista,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,NORTE,CAPITAL,MAIS DE 500.000,189564083.0,2023-09-02,Face a face
MAS,45.0,45 A 54,Superior completo,Sim,Sim,Sim,Incentivar a geração de empregos,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,INTERIOR,DE 5.001 A 10.000,189690442.0,2023-09-05,Face a face
MAS,43.0,35 A 44,1ª série,Não,Não,Não,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Aumentar os impostos de grandes fortunas (ou dos mais ricos),"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Nenhuma vontade,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,ATÉ 5.000,189607653.0,2023-09-03,Face a face
FEM,48.0,45 A 54,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,CAPITAL,MAIS DE 500.000,189711917.0,2023-09-05,Face a face
MAS,66.0,65 E MAIS,2ª série (ou 3º ano),Sim,Sim,Sim,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Combater as mudanças climáticas/desmatamento,Preservar os valores ligados à família,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Alguma vontade,Preta,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,189556246.0,2023-09-02,Face a face
FEM,62.0,55 A 64,Superior completo,Sim,Sim,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Nenhuma vontade,Branca,Espírita/ Kardecista,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,INTERIOR,MAIS DE 500.000,189516222.0,2023-09-01,Face a face
FEM,28.0,25 A 34,3ª série,Sim,Não,Não,Melhorar a qualidade da saúde,Incentivar a geração de empregos,Melhorar a qualidade da educação,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Amarela,Evangelho Quadrangular,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,189569985.0,2023-09-02,Face a face
MAS,32.0,25 A 34,1ª série,Sim,Sim,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 20.001 A 50.000,189654093.0,2023-09-04,Face a face
